ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Dt_Customer_time_stamp,Education_code,Marital_Status_code,clusters,Dt_Customer,Education,Marital_Status
2174,1954.0,46344.0,1.0,1.0,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0000000000000004,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1394247600.0,2.0,2.0,0,2014-03-08,Graduation,Single
6182,1984.0,26646.0,1.0,0.0,26.0,11.0,4.0,20.0,9.999999999999996,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1392001200.0,2.0,3.0,0,2014-02-10,Graduation,Together
5324,1981.0,58293.0,1.0,0.0,94.0,173.0,43.0,118.0,46.0,27.0,14.999999999999996,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1390100400.0,4.0,1.0,0,2014-01-19,PhD,Married
6177,1985.0,33454.0,1.0,0.0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1367982000.0,4.0,1.0,0,2013-05-08,PhD,Married
5899,1950.0,5648.0,1.0,1.0,68.0,28.0,0.0,6.0,1.0,1.0,13.000000000000004,1.0,1.0000000000000004,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1394679600.0,4.0,3.0,0,2014-03-13,PhD,Together
1994,1983.0,29042.2,1.0,0.0,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0000000000000004,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1384484400.0,2.0,1.0,0,2013-11-15,Graduation,Married
387,1976.0,7500.0,0.0,0.0,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1352775600.0,1.0000000000000002,1.0,0,2012-11-13,Basic,Married
8180,1952.0,59354.0,1.0,1.0,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1384484400.0,3.0,2.220446049250313e-16,0,2013-11-15,Master,Divorced
2569,1987.0,17323.0,0.0,0.0,38.0,3.0,13.999999999999998,17.0,6.0,1.0,5.0,1.0,1.0000000000000004,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1349838000.0,2.0,1.0,0,2012-10-10,Graduation,Married
9736,1980.0,41850.0,1.0,1.0,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1356318000.0,2.0,1.0,0,2012-12-24,Graduation,Married
4939,1946.0,37760.0,0.0,0.0,20.000000000000004,83.99999999999997,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1346382000.0,2.0,3.0,0,2012-08-31,Graduation,Together
2278,1985.0,33812.0,1.0,0.0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1351911600.0,0.0,2.0,0,2012-11-03,2n Cycle,Single
9360,1982.0,37040.0,0.0,0.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1344394800.0,2.0,1.0,0,2012-08-08,Graduation,Married
1993,1949.0,58607.0,0.0,1.0,63.0,867.0,0.0,86.0,0.0,-3.552713678800501e-15,19.0,3.0,2.0,3.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1356231600.0,4.0,1.0,0,2012-12-23,PhD,Married
4047,1954.0,65324.0,0.0,1.0,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1389409200.0,4.0,1.0,0,2014-01-11,PhD,Married
1409,1951.0,40689.0,0.0,1.0,69.0,270.0,2.9999999999999964,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1363575600.0,2.0,3.0,0,2013-03-18,Graduation,Together
7892,1969.0,18589.0,0.0,0.0,89.0,6.0,4.0,25.0,15.0,12.0,13.000000000000004,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1357095600.0,2.0,2.0,0,2013-01-02,Graduation,Single
2404,1976.0,53359.0,1.0,1.0,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1369623600.0,2.0,1.0,0,2013-05-27,Graduation,Married
9422,1989.0,38360.0,1.0,0.0,26.0,36.0,2.0,42.000000000000014,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1369969200.0,2.0,1.0,0,2013-05-31,Graduation,Married
6864,1989.0,10979.0,0.0,0.0,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1400727600.0,3.0,2.220446049250313e-16,0,2014-05-22,Master,Divorced
3033,1963.0,38620.0,0.0,0.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1368241200.0,3.0,3.0,0,2013-05-11,Master,Together
5710,1970.0,40548.0,0.0,1.0,31.0,110.00000000000003,0.0,5.0,2.0,-3.552713678800501e-15,3.0,2.0,2.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1349838000.0,2.0,3.0,0,2012-10-10,Graduation,Together
7373,1952.0,46610.0,0.0,2.0,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1351479600.0,4.0,2.220446049250313e-16,0,2012-10-29,PhD,Divorced
10738,1951.0,49389.0,1.0,1.0,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1377745200.0,3.0,2.0,0,2013-08-29,Master,Single
10755,1976.0,23718.0,1.0,0.0,76.0,6.0,2.9999999999999964,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1378090800.0,0.0,1.0,0,2013-09-02,2n Cycle,Married
8595,1973.0,42429.0,0.0,1.0,99.0,55.0,0.0,6.0,2.0,-3.552713678800501e-15,4.0,2.0,1.0000000000000004,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1392087600.0,2.0,4.0,0,2014-02-11,Graduation,Widow
503,1985.0,20559.0,1.0,0.0,88.0,13.0,1.0,29.0,3.0,-3.552713678800501e-15,7.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1363057200.0,3.0,1.0,0,2013-03-12,Master,Married
8430,1957.0,21994.0,0.0,1.0,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1356318000.0,2.0,3.0,0,2012-12-24,Graduation,Together
7281,1959.0,64102.2,0.0,0.0,80.0,81.0,11.0,50.000000000000014,3.0,2.0,39.0,1.0,1.0000000000000004,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1383620400.0,4.0,2.0,0,2013-11-05,PhD,Single
2139,1975.0,7500.0,1.0,0.0,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1380682800.0,3.0,1.0,0,2013-10-02,Master,Married
9909,1996.0,7500.0,0.0,0.0,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1352430000.0,0.0,1.0,0,2012-11-09,2n Cycle,Married
7286,1968.0,41728.0,1.0,0.0,92.0,13.0,6.0,15.0,3.0,5.0,13.000000000000004,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1369364400.0,2.0,3.0,0,2013-05-24,Graduation,Together
7244,1951.0,32384.0,2.0,1.0,96.0,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1388545200.0,2.0,2.0,0,2014-01-01,Graduation,Single
1331,1977.0,35790.0,1.0,0.0,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1357095600.0,2.0,2.0,0,2013-01-02,Graduation,Single
9381,1978.0,66373.0,1.0,1.0,57.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1371006000.0,2.0,1.0,0,2013-06-12,Graduation,Married
7437,1988.0,27938.0,1.0,0.0,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0000000000000004,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1398654000.0,2.0,2.0,0,2014-04-28,Graduation,Single
8557,1982.0,27899.4,1.0,0.0,57.0,11.0,2.9999999999999964,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1371438000.0,2.0,2.0,0,2013-06-17,Graduation,Single
8375,1968.0,55954.0,0.0,1.0,63.0,447.0,0.0,28.0,0.0,-3.552713678800501e-15,43.0,3.0,8.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1393815600.0,4.0,1.0,0,2014-03-03,PhD,Married
3076,1975.0,66653.0,1.0,1.0,18.000000000000004,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1346986800.0,2.0,3.0,0,2012-09-07,Graduation,Together
6518,1951.0,67680.0,0.0,1.0,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1370919600.0,4.0,4.0,0,2013-06-11,PhD,Widow
8082,1971.0,25720.999999999996,1.0,0.0,75.0,1.0,2.9999999999999964,6.0,3.0,6.0,14.999999999999996,1.0,1.0000000000000004,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1369105200.0,2.0,1.0,0,2013-05-21,Graduation,Married
1386,1967.0,32474.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0,-3.552713678800501e-15,0.0,1.0,1.0000000000000004,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1399777200.0,2.0,3.0,0,2014-05-11,Graduation,Together
10629,1973.0,18284.600000000006,1.0,0.0,25.0,25.0,2.9999999999999964,42.999999999999986,17.0,4.0,16.999999999999996,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1347591600.0,0.0,1.0,0,2012-09-14,2n Cycle,Married
8132,1975.0,60631.0,1.0,1.0,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1365130800.0,4.0,1.0,0,2013-04-05,PhD,Married
1050,1952.0,28332.0,0.0,0.0,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1398826800.0,2.0,1.0,0,2014-04-30,Graduation,Married
5846,1977.0,40246.0,1.0,0.0,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0000000000000004,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1355886000.0,2.0,2.220446049250313e-16,0,2012-12-19,Graduation,Divorced
10401,1976.0,26326.0,0.0,0.0,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,3.0,11.0,0.0,1378263600.0,0.0,3.0,0,2013-09-04,2n Cycle,Together
1618,1965.0,56046.0,0.0,0.0,9.0,577.0,0.0,64.0,0.0,-3.552713678800501e-15,51.0,2.0,10.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1357095600.0,2.0,3.0,0,2013-01-02,Graduation,Together
3332,1985.0,29760.0,1.0,0.0,87.0,64.0,4.0,68.0,6.9999999999999964,5.0,16.999999999999996,4.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1346209200.0,2.0,2.0,0,2012-08-29,Graduation,Single
2261,1969.0,26304.0,1.0,0.0,5.0,4.0,1.0,5.0,2.0,-3.552713678800501e-15,4.0,1.0,1.0000000000000004,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1371956400.0,2.0,1.0,0,2013-06-23,Graduation,Married
5346,1973.0,23559.0,1.0,0.0,87.0,25.0,5.0,19.0,6.9999999999999964,-3.552713678800501e-15,23.0,3.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1372820400.0,0.0,1.0,0,2013-07-03,2n Cycle,Married
5268,1960.0,29440.0,1.0,1.0,95.0,17.0,8.0,14.0,9.999999999999996,4.0,3.0,2.0,1.0000000000000004,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1376190000.0,2.0,1.0,0,2013-08-11,Graduation,Married
273,1970.0,36138.0,1.0,1.0,48.0,130.0,0.0,16.0,0.0,-3.552713678800501e-15,5.0,5.0,3.0,1.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1373943600.0,3.0,1.0,0,2013-07-16,Master,Married
4452,1957.0,50388.0,0.0,1.0,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,11.0,1.0,1401246000.0,2.0,2.0,0,2014-05-28,Graduation,Single
771,1967.0,54178.0,0.0,1.0,79.0,135.0,9.0,39.0,4.0,-3.552713678800501e-15,7.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1390273200.0,2.0,3.0,0,2014-01-21,Graduation,Together
8996,1957.0,57166.2,2.0,1.0,4.0,230.0,42.0,192.0,49.0,37.0,53.0,12.0,7.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1353294000.0,4.0,1.0,0,2012-11-19,PhD,Married
9235,1957.0,41978.6,1.0,1.0,45.0,7.0,0.0,8.0,2.0,-3.552713678800501e-15,1.0,1.0,1.0000000000000004,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1401159600.0,2.0,2.0,0,2014-05-27,Graduation,Single
11178,1972.0,42394.0,1.0,0.0,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0000000000000004,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1395543600.0,3.0,2.0,0,2014-03-23,Master,Single
2230,1970.0,23626.0,1.0,0.0,84.0,27.0,2.0,14.0,0.0,-3.552713678800501e-15,0.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1400900400.0,4.0,1.0,0,2014-05-24,PhD,Married
7516,1983.0,30096.0,1.0,0.0,30.0,5.0,2.9999999999999964,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1400727600.0,2.0,1.0,0,2014-05-22,Graduation,Married
7247,1960.0,47916.0,0.0,1.0,72.0,505.0,0.0,26.0,0.0,-3.552713678800501e-15,75.0,5.0,7.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1353553200.0,2.0,4.0,0,2012-11-22,Graduation,Widow
11100,1972.0,51813.0,1.0,1.0,37.0,50.99999999999997,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1365649200.0,2.0,2.220446049250313e-16,0,2013-04-11,Graduation,Divorced
3037,1983.0,50150.0,0.0,0.0,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1371697200.0,4.0,1.0,0,2013-06-20,PhD,Married
1473,1960.0,47823.0,0.0,1.0,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1374548400.0,0.0,2.0,0,2013-07-23,2n Cycle,Single
1016,1959.0,34554.0,0.0,1.0,43.0,41.0,1.0,6.0,2.0,-3.552713678800501e-15,5.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1396148400.0,4.0,2.0,0,2014-03-30,PhD,Single
8373,1979.0,24594.0,1.0,0.0,94.0,1.0,2.9999999999999964,6.0,9.999999999999996,-3.552713678800501e-15,9.0,1.0,1.0000000000000004,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1386644400.0,1.0000000000000002,3.0,0,2013-12-10,Basic,Together
7533,1964.0,49096.0,1.0,1.0,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1379991600.0,2.0,1.0,0,2013-09-24,Graduation,Married
3629,1978.0,38557.0,1.0,0.0,17.0,76.0,2.9999999999999964,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1355886000.0,2.0,2.0,0,2012-12-19,Graduation,Single
3267,1963.0,57288.0,0.0,1.0,27.0,527.0,0.0,21.0,0.0,-3.552713678800501e-15,60.0,3.0,8.0,1.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1403665200.0,3.0,3.0,0,2014-06-25,Master,Together
9215,1980.0,43974.0,1.0,0.0,19.0,378.0,0.0,101.0,0.0,-3.552713678800501e-15,72.0,5.0,6.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1355281200.0,4.0,1.0,0,2012-12-12,PhD,Married
2286,1962.0,50785.0,1.0,1.0,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1378782000.0,2.0,2.0,0,2013-09-10,Graduation,Single
367,1978.0,36550.0,1.0,0.0,74.0,47.0,90.0,94.0,123.0,103.0,120.0,5.0,9.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1361242800.0,0.0,1.0,0,2013-02-19,2n Cycle,Married
5234,1967.0,30753.0,1.0,1.0,85.0,12.0,5.0,25.0,0.0,9.0,30.0,2.0,1.0000000000000004,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1373511600.0,0.0,3.0,0,2013-07-11,2n Cycle,Together
9862,1969.0,21917.999999999996,1.0,0.0,37.0,1.0,6.0,7.0,11.0,5.0,3.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1384398000.0,2.0,3.0,0,2013-11-14,Graduation,Together
6205,1967.0,32557.0,1.0,0.0,13.0,34.0,2.9999999999999964,29.0,0.0,4.0,10.0,3.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1393210800.0,3.0,2.0,0,2014-02-24,Master,Single
8442,1985.0,19510.0,2.0,0.0,63.0,9.0,0.0,7.0,3.0,4.0,7.0,2.0,1.0000000000000004,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1378263600.0,3.0,1.0,0,2013-09-04,Master,Married
7386,1976.0,30992.0,1.0,0.0,83.0,17.0,0.0,14.0,6.9999999999999964,3.0,2.0,1.0,1.0000000000000004,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1366599600.0,2.0,2.220446049250313e-16,0,2013-04-22,Graduation,Divorced
3381,1953.0,54348.0,1.0,1.0,51.0,70.0,0.0,16.0,0.0,-3.552713678800501e-15,4.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1402196400.0,3.0,1.0,0,2014-06-08,Master,Married
8268,1961.0,54382.4,0.0,1.0,23.0,352.0,0.0,27.0,9.999999999999996,-3.552713678800501e-15,14.999999999999996,3.0,6.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1373511600.0,4.0,1.0,0,2013-07-11,PhD,Married
11051,1956.0,77376.0,1.0,1.0,72.0,492.0,19.0,110.0,16.0,12.0,12.0,4.0,6.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1399690800.0,4.0,3.0,0,2014-05-10,PhD,Together
433,1958.0,61331.0,1.0,1.0,42.0,534.0,5.0,46.999999999999986,0.0,5.0,41.0,5.0,11.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1362884400.0,3.0,2.0,0,2013-03-10,Master,Single
5290,1964.0,41551.0,1.0,1.0,51.0,220.0,0.0,33.0,3.0,-3.552713678800501e-15,23.0,5.0,5.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1376449200.0,4.0,1.0,0,2013-08-14,PhD,Married
5342,1976.0,9548.0,1.0,0.0,31.0,0.0,1.0,3.0,9.999999999999996,6.0,9.0,2.0,1.0000000000000004,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1344394800.0,1.0000000000000002,2.220446049250313e-16,0,2012-08-08,Basic,Divorced
9579,1959.0,33762.0,2.0,1.0,61.0,53.0,1.0,34.0,2.0,-3.552713678800501e-15,16.0,3.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1373166000.0,4.0,1.0,0,2013-07-07,PhD,Married
